name,category,calories,protein,carbs,fat,fiber,standardUnit
น้ำแกงคั่วหมูเทโพ,single_dish,437.61,7.02,40.84,27.35,4.38,ถ้วยตวง
น้ำแกงจืด / น้ำซุป ขาตั้งหมู,single_dish,1.47,0.18,0.03,0.07,0,ทัพพี
น้ำแกงจืด / น้ำซุป ซี่โครงไก่,single_dish,6.55,0.22,0.72,0.31,0,ทัพพี
น้ำแกงจืด / น้ำซุป ซี่โครงวัว,single_dish,1.47,0.18,0.03,0.07,0,ทัพพี
น้ำแกงจืด / น้ำซุป ปลา,single_dish,6.55,0.22,0.72,0.31,0,ทัพพี
น้ำแกงจืด / น้ำซุป รสไก่ (เตรียมจากซุปก้อน / ผง 1 กรัม ในน้ำ 30 ม.ล.),single_dish,8.11,0.48,0.94,0.27,0.03,ถ้วยตวง
น้ำแกงต้มข่าไก่,single_dish,353.29,5.04,7.43,33.71,2.36,ถ้วยตวง
น้ำแกงไตปลา,single_dish,79.75,7.2,6.86,2.61,1.73,ถ้วยตวง
น้ำแกงเผ็ด,single_dish,491.05,7.71,20.13,42.19,6.54,ถ้วยตวง
น้ำแกงมัสมั่น,single_dish,463.65,7.16,44.73,28.45,4.9,ถ้วยตวง
น้ำแกงเลียง,single_dish,65.55,8.81,6.31,0.57,0.93,ถ้วยตวง
น้ำแกงส้มปลาช่อน,single_dish,89.36,6.48,13.75,0.94,0.86,ถ้วยตวง
น้ำแกงเหลือง,single_dish,67.86,1.8,13.51,0.74,0.97,ถ้วยตวง
น้ำเฉาก๊วย,single_dish,56.24,0,14.06,0,0,ถ้วยตวง
น้ำชาเขียวญี่ปุ่น รสธัญพืช (ตรา นะมะชะ),single_dish,45.76,0,11.44,0,0,ถ้วยตวง
น้ำชาเขียว รสต้นตำรับ (ตรา ยูนิฟ),single_dish,41.6,0,10.4,0,0,ถ้วยตวง
น้ำชาเขียว รสน้ำผึ้งผสมมะนาว (ตรา ยูนิฟ),single_dish,62.98,0,15.75,0,0,ถ้วยตวง
น้ำชา (ชาดำ) พร้อมดื่ม ไม่ใส่น้ำตาล,single_dish,11.46,0.25,2.61,0.01,0.17,ถ้วยตวง
น้ำชา (ชาดำ) พร้อมดื่ม ใส่น้ำตาล,single_dish,121.67,0.27,30.13,0.01,0.18,ถ้วยตวง
น้ำชาแดง (ตรา ลิปตัน ไอซ์ที),single_dish,71.55,0,17.89,0,0,ถ้วยตวง
น้ำชาต้นตำรับ (ตรา ทีเบรค),single_dish,49.92,0,12.48,0,0,ถ้วยตวง
น้ำชานม (ตรา ทีเบรค),single_dish,80.93,0,17.87,1.05,0,ถ้วยตวง
น้ำชา พร้อมดื่ม ไม่ใส่น้ำตาล ชงจากผงสำเร็จรูป,single_dish,1.84,0.12,0.34,0,0,ถ้วยตวง
น้ำชามะนาว (ตรา ทีเบรค),single_dish,70.72,0,17.68,0,0,ถ้วยตวง
น้ำชามะนาว พร้อมดื่ม (ตรา ลิปตัน ไอซ์ที),single_dish,73.3,0,18.32,0,0,ถ้วยตวง
น้ำพริกกะปิ ข้น,single_dish,291,18.55,50.57,1.61,8.64,ถ้วยตวง
น้ำพริกกะปิ (ภาคกลาง),single_dish,325.3,8.3,68.54,2,7.32,ถ้วยตวง
น้ำพริกกะปิ (ภาคใต้),single_dish,352.6,17.92,65.47,2.11,7.91,ถ้วยตวง
น้ำพริกกะปิ ใส่กุ้งแห้งไม่มีเปลือกป่น ไม่ใส่มะเขือพวง,single_dish,396.79,15.67,81.45,0.92,2.32,ถ้วยตวง
น้ำพริกกะปิ ใส่มะเขือเปราะ,single_dish,366.74,14.13,73.13,1.97,5.13,ถ้วยตวง
น้ำพริกกะปิ ใส่ระกำ,single_dish,337.37,6.3,72.96,2.26,2.56,ถ้วยตวง
น้ำพริกกะปิ เหลว,single_dish,159.32,10.45,27.21,0.97,3.72,ถ้วยตวง
น้ำพริก (กินกับขนมจีน),single_dish,662.9,10.29,54.11,45.04,3.65,ถ้วยตวง
น้ำพริกเกลือ / น้ำจิ้มซีฟู๊ด,single_dish,230.97,13,40.94,1.69,11.28,ถ้วยตวง
น้ำพริกเกลือ / น้ำจิ้มซีฟู๊ด (ไม่ใส่เกลือ),single_dish,285.18,9.27,59.63,1.07,8.91,ถ้วยตวง
น้ำพริกแกงกะหรี่,single_dish,312.87,15.05,42.01,9.4,0,ถ้วยตวง
น้ำพริกแกงเขียวหวาน,single_dish,181.74,7.1,34.42,1.74,16.82,ถ้วยตวง
น้ำพริกแกงคั่วกลิ้ง,single_dish,186.6,12.19,27.6,3.05,10.69,ถ้วยตวง
น้ำพริกแกงคั่ว (ตำบลดอนแฝก),single_dish,212.06,8.48,39.43,2.27,9.17,ถ้วยตวง
น้ำพริกแกงแดง,single_dish,243.78,11.31,38.02,5.17,24.41,ถ้วยตวง
น้ำพริกแกงเทโพ,single_dish,283.61,9.15,52.48,4.12,9.2,ถ้วยตวง
น้ำพริกแกงน้ำเงี้ยว,single_dish,198.08,2.87,41.03,2.5,16.96,ถ้วยตวง
น้ำพริกแกง น้ำพริกอ่อง,single_dish,197.23,3.22,42.75,1.48,0,ถ้วยตวง
น้ำพริกแกงป่า,single_dish,214.13,7.41,37.02,4.04,16.76,ถ้วยตวง
น้ำพริกแกงพะแนง,single_dish,321.62,9.6,49.6,9.43,22.54,ถ้วยตวง
น้ำพริกแกง (ภาคใต้),single_dish,265.39,8.37,48.72,4.12,10.03,ถ้วยตวง
น้ำพริกแกงมัสมั่น,single_dish,498.82,8.98,30.15,38.03,21.14,ถ้วยตวง
น้ำพริกแกงเมือง (ภาคเหนือ),single_dish,204.97,3.37,41.38,2.88,0,ถ้วยตวง
น้ำพริกแกง ไม่ระบุชนิด,single_dish,199.66,3.11,41.44,2.39,0,ถ้วยตวง
น้ำพริกแกงส้ม,single_dish,305.22,15.15,55.79,2.39,12.55,ถ้วยตวง
น้ำพริกแกงเหลือง,single_dish,251.09,13.25,42.54,3.1,9.87,ถ้วยตวง
น้ำพริกแกงฮังเล,single_dish,198.37,2.97,40.58,2.69,17.36,ถ้วยตวง
น้ำพริกขนมจีน ไม่ใส่หอมเจียวกระเทียมเจียว,single_dish,595.06,15.22,42.45,40.49,4.33,ถ้วยตวง
น้ำพริกขนมจีน ใส่หอมเจียวกระเทียมเจียว,single_dish,711.64,14.05,59.09,46.57,4.56,ถ้วยตวง
น้ำพริกข่า,single_dish,189.23,17.64,21.57,3.6,2.91,ถ้วยตวง
น้ำพริกข่า เค็มมาก,single_dish,164.55,13.49,20.02,3.39,7.14,ถ้วยตวง
น้ำพริกข่า ไม่ใส่กระเทียม,single_dish,198.38,25.36,12.62,5.16,5.44,ถ้วยตวง
น้ำพริกคั่วผงแคบหมู,single_dish,418.82,18.47,17.52,30.54,2.42,ถ้วยตวง
น้ำพริกตาแดง / น้ำพริกแดง,single_dish,642.98,75.82,75.06,4.39,4.91,ถ้วยตวง
น้ำพริกตาแดง ใส่ปลาร้า,single_dish,305.38,20.57,38.66,7.61,6.42,ถ้วยตวง
น้ำพริกตาแดง ใส่ปลาหางแข็งแห้ง,single_dish,297.97,14.66,53.04,3.02,5.49,ถ้วยตวง
น้ำพริกนรก,single_dish,384.06,28.71,18.57,21.66,13.21,ถ้วยตวง
น้ำพริกน้ำปู๋ เค็มเฉลี่ย,single_dish,100.11,4.73,18.08,0.98,9.89,ถ้วยตวง
น้ำพริกน้ำปู๋ เค็มน้อย,single_dish,227.66,24.29,20.67,5.31,7.9,ถ้วยตวง
น้ำพริกน้ำปู๋ เค็มมาก,single_dish,82.97,5.29,12.89,1.14,4.02,ถ้วยตวง
น้ำพริกปลากระป๋อง (กะเหรี่ยงเมืองกาญฯ),single_dish,252.67,5.56,2.55,24.47,0.82,ถ้วยตวง
