name,category,calories,protein,carbs,fat,fiber,standardUnit
พริกขี้หนู แห้ง,vegetable,50.21,1.84,7.07,1.62,1.38,ทัพพี
พริกขี้หนู แห้ง แช่น้ำ,vegetable,114.32,4.19,16.09,3.69,0,ถ้วยตวง
พริกขี้หนู แห้ง แช่น้ำ แกะเมล็ด,vegetable,77.48,2.84,10.9,2.5,0,ถ้วยตวง
พริกชี้ฟ้า ไม่ระบุสี สด,vegetable,44.93,1.8,7.5,0.85,5.22,ถ้วยตวง
พริกชี้ฟ้า สีเขียว สด,vegetable,52.38,1.97,9.21,0.85,1.71,ถ้วยตวง
พริกชี้ฟ้า สีแดง สด,vegetable,71.08,2.82,10.03,2.18,2,ถ้วยตวง
พริกชี้ฟ้า แห้ง,vegetable,77.2,3.06,12.27,1.77,2.07,ถ้วยตวง
พริกชี้ฟ้า แห้ง แกะเมล็ด,vegetable,76,3.23,11.6,1.85,0,ถ้วยตวง
พริกชี้ฟ้า แห้ง คั่ว,vegetable,105.56,4.49,16.12,2.57,0,ถ้วยตวง
พริกชี้ฟ้า แห้ง แช่น้ำ,vegetable,40.16,1.59,6.38,0.92,1.08,ทัพพี
พริกชี้ฟ้า แห้ง แช่น้ำ แกะเมล็ด,vegetable,73.89,3.14,11.28,1.8,0,ถ้วยตวง
พริกชี้ฟ้า แห้ง ย่าง,vegetable,90.44,3.84,13.81,2.2,0,ถ้วยตวง
พริกไทย ขาว ป่น,vegetable,438.88,13.17,79.58,7.54,30.28,ถ้วยตวง
พริกไทย ดำ,vegetable,509.74,17.36,87.08,10.22,35.98,ถ้วยตวง
พริกไทย อ่อน,vegetable,29.36,1.26,4.75,0.59,2.11,ทัพพี
พริก ใบและยอด ดิบ,vegetable,29.8,2.9,3.2,0.6,0.65,ถ้วยตวง
พริก ใบและยอด ต้ม,vegetable,30.62,1.06,6.19,0.18,0.29,ถ้วยตวง
พริกลาบ (ภาคเหนือ),vegetable,230.63,4,37.31,7.27,0,ถ้วยตวง
พริกหนุ่ม เผา,vegetable,14.45,0.6,2.69,0.14,1.69,ทัพพี
พริกหนุ่ม สด,vegetable,7.4,0.33,1.37,0.07,0.93,ทัพพี
พริกหยวก สด,vegetable,29.13,1.31,5.57,0.18,3.03,ถ้วยตวง
พริกหวาน / พริกยักษ์ สีเขียว สด,vegetable,23.34,0.88,4.27,0.3,2.08,ถ้วยตวง
พริกหวาน / พริกยักษ์ สีแดง สด,vegetable,38.34,1.4,7,0.53,1.21,ถ้วยตวง
พริกหวาน / พริกยักษ์ สีเหลือง สด,vegetable,35.36,1.29,6.46,0.48,1.43,ถ้วยตวง
พริกเหลือง สด,vegetable,107.05,3.85,18.86,1.8,3.22,ถ้วยตวง
พริกแห้ง ไม่ระบุชนิด ป่น,vegetable,408.04,12.3,49.1,18.05,44.92,ถ้วยตวง
พุเผดุ (หน่ออ่อนคล้าย หน่อของต้นข่า) ต้ม (กะเหรี่ยงเมืองกาญฯ),vegetable,25.7,2.3,2.1,0.9,2.1,ถ้วยตวง
พูดุ (หน่อคล้ายใบข่า) ต้ม (กะเหรี่ยงเมืองกาญฯ),vegetable,39.5,3,5.3,0.7,5.3,ถ้วยตวง
ฟักทองฉาบ,vegetable,281.35,2.7,28.96,17.19,3.82,ถ้วยตวง
ฟักทองเชื่อม,vegetable,114.56,0.69,27.55,0.18,1.2,ทัพพี
ฟักทอง ดอก ดิบ,vegetable,18.79,1.31,2.93,0.2,0,ถ้วยตวง
ฟักทอง ดอก ต้ม,vegetable,18.46,1.1,3.33,0.08,0.91,ถ้วยตวง
ฟักทองนึ่งโรยมะพร้าว,vegetable,161.4,1.46,35.6,1.46,2.72,ถ้วยตวง
ฟักทอง เนื้อ ปอกเปลือก ดิบ,vegetable,31.97,0.66,6.93,0.17,1.16,ทัพพี
ฟักทอง เนื้อ ปอกเปลือก ต้ม,vegetable,73.25,1.13,16.34,0.37,2.02,ถ้วยตวง
ฟักทอง เนื้อ ไม่ปอกเปลือก ดิบ,vegetable,34.22,0.96,6.8,0.35,1.46,ทัพพี
